,prod brute elec primaire renouv,prod brute elec nucleaire
1970,57399,5711
1971,49364,9329
1972,49364,14591
1973,48131,14751
1974,57632,14710
1975,60637,18248
1976,49271,15778
1977,77072,17941
1978,69308,30452
1979,67805,39960
1980,70682,61251
1981,73579,105326
1982,71897,108919
1983,71487,144261
1984,68138,191234
1985,64266,224100
1986,65280,254155
1987,72935,265520
1988,78780,275521
1989,51160,303931
1990,58322,313651
1991,62062,331340
1992,73100,338445
1993,68450,368188
1994,81578,359981
1995,76704,377231
1996,70777,397340
1997,68060,395484
1998,66610,387589
1999,77640,394300
2000,72480,415200
2001,79440,421076
2002,66728,436760
2003,65275,441070
2004,66196,448241
2005,57969,451529
2006,64142,450191
2007,68150,439730
2008,74568,439447
2009,70488,409736
2010,78237,428519
2011,64991,442383
